State,Year,Fossil,Renewable,Total,fossil_share
AK,2000,3497341.0,10891.0,3508232.0,0.9968955872929727
AK,2001,3438696.1,15393.0,3454089.1,0.9955435428692329
AK,2002,3425115.5,16466.0,3441581.5,0.9952155716783113
AK,2003,3445911.9,17590.0,3463501.9,0.9949213251478222
AK,2004,3744150.3,17134.0,3761284.3,0.9954446410764536
AK,2005,3835047.2,12529.0,3847576.2,0.996743664232043
AK,2006,3654700.2,10750.0,3665450.2,0.9970672088247168
AK,2007,3508127.0,11435.0,3519562.0,0.9967510161775812
AK,2008,3126158.0,10861.1,3137019.1,0.9965377641468616
AK,2009,3014520.4,14650.8,3029171.1999999997,0.9951634295215801
AK,2010,3012938.3,15768.4,3028706.6999999997,0.9947936853707228
AK,2011,3008995.1,15287.2,3024282.3000000003,0.994945180878121
AK,2012,2918951.4,16156.1,2935107.5,0.994495567879541
AK,2013,2753579.0,18164.7,2771743.7,0.9934464719807967
AK,2014,2740477.4,19218.9,2759696.3,0.9930358641275129
AK,2015,2830938.5,27294.1,2858232.6,0.9904507071957684
AK,2016,2695664.9,29555.8,2725220.6999999997,0.9891547132311156
AK,2017,2721017.5,27128.7,2748146.2,0.9901283636219935
AK,2018,2759382.1,28252.2,2787634.3000000003,0.989865169904101
AK,2019,2765802.1,26648.7,2792450.8000000003,0.9904568775213515
AL,2000,7080909.5,447791.0,7528700.5,0.9405221392456773
AL,2001,6619959.0,387540.0,7007499.0,0.9446963888257423
AL,2002,6851397.7,386199.0,7237596.7,0.9466398839272158
AL,2003,6947793.1,396949.0,7344742.1,0.9459546714376805
AL,2004,7245461.7,441165.0,7686626.7,0.9426061629869446
AL,2005,7185751.3,425685.0,7611436.3,0.944072973454432
AL,2006,7295901.0,438079.0,7733980.0,0.9433565900092837
AL,2007,7321570.0,402944.0,7724514.0,0.947835682607346
AL,2008,6991224.1,388473.0,7379697.1,0.9473592215593781
AL,2009,6236210.9,370607.0,6606817.9,0.9439053708442607
AL,2010,6866102.5,374826.0,7240928.5,0.9482350916736714
AL,2011,6881475.0,400480.0,7281955.0,0.9450037798915264
AL,2012,6770419.5,394229.0,7164648.5,0.9449758072569785
AL,2013,6574897.6,463736.0,7038633.6,0.9341156215319973
AL,2014,6699171.7,422146.0,7121317.7,0.9407208022751182
AL,2015,6685511.5,398350.0,7083861.5,0.9437665459721368
AL,2016,6621455.3,376819.0,6998274.3,0.9461554400632739
AL,2017,6372028.4,403348.0,6775376.4,0.9404685472529615
AL,2018,6592743.3,416843.0,7009586.3,0.9405324391255444
AL,2019,6356202.5,414048.0,6770250.5,0.9388430309927233
AR,2000,3655354.1,186069.0,3841423.1,0.9515624821436618
AR,2001,3534784.3,153582.0,3688366.3,0.9583604264034188
