Year,State,Income
2000,AK,78675
2000,AL,52737
2000,AR,44211
2000,AZ,59226
2000,CA,69696
2000,CO,71816
2000,CT,74693
2000,DE,74980
2000,FL,57846
2000,GA,62379
2000,HI,76738
2000,IA,61025
2000,ID,55993
2000,IL,68577
2000,IN,60837
2000,KS,61126
2000,KY,53989
2000,LA,45731
2000,MA,69603
2000,MD,81188
2000,ME,55479
2000,MI,67755
2000,MN,80765
2000,MO,67137
2000,MS,51062
2000,MT,48796
2000,NC,57044
2000,ND,53588
2000,NE,62155
2000,NH,75815
2000,NJ,75039
2000,NM,52244
2000,NV,68121
2000,NY,60657
2000,OH,63959
2000,OK,48283
2000,OR,63270
2000,PA,62789
2000,RI,62820
2000,SC,55932
2000,SD,54301
2000,TN,50760
2000,TX,57478
2000,UT,70789
2000,VA,70213
2000,VT,58945
2000,WA,63308
2000,WI,67124
2000,WV,43785
2000,WY,58997
2001,AK,83034
2001,AL,50895
2001,AR,48259
2001,AZ,61815
2001,CA,68413
2001,CO,71503
2001,CT,77221
2001,DE,71800
2001,FL,52720
2001,GA,61630
2001,HI,68669
2001,IA,59314
2001,ID,55355
2001,IL,66833
2001,IN,58449
2001,KS,59949
2001,KY,55638
2001,LA,48234
2001,MA,75637
2001,MD,77486
2001,ME,52997
2001,MI,65206
2001,MN,76257
2001,MO,59839
2001,MS,43659
2001,MT,46503
2001,NC,55240
2001,ND,51811
2001,NE,63128
2001,NH,74303
2001,NJ,74940
2001,NM,47948
2001,NV,65722
2001,NY,60961
2001,OH,60485
2001,OK,51545
2001,OR,59744
2001,PA,62966
2001,RI,66185
2001,SC,54624
2001,SD,57425
2001,TN,51797
2001,TX,59146
2001,UT,68529
2001,VA,72725
2001,VT,59050
2001,WA,61505
2001,WI,65639
2001,WV,42952
2001,WY,57494
2002,AK,75206
2002,AL,53586
2002,AR,46153
2002,AZ,56623
2002,CA,67600
2002,CO,68822
2002,CT,76080
2002,DE,70754
2002,FL,54186
2002,GA,61191
2002,HI,67409
2002,IA,58497
2002,ID,53746
2002,IL,60864
2002,IN,58494
2002,KS,60734
2002,KY,52388
2002,LA,48463
2002,MA,71046
2002,MD,80383
2002,ME,52518
2002,MI,60871
2002,MN,77839
2002,MO,60958
2002,MS,44009
2002,MT,49642
2002,NC,52036
2002,ND,51587
2002,NE,60987
2002,NH,78836
2002,NJ,77762
2002,NM,50528
2002,NV,64068
2002,NY,59804
2002,OH,60827
2002,OK,51955
2002,OR,59570
2002,PA,60562
2002,RI,60447
2002,SC,53884
2002,SD,53971
2002,TN,52770
2002,TX,57215
2002,UT,68205
2002,VA,70727
2002,VT,61276
2002,WA,64388
2002,WI,65414
2002,WV,41838
2002,WY,56665
2003,AK,72230
2003,AL,51912
2003,AR,44592
2003,AZ,57361
2003,CA,68695
2003,CO,69587
2003,CT,76589
2003,DE,68304
2003,FL,54304
2003,GA,59134
2003,HI,72226
2003,IA,57665
2003,ID,59042
2003,IL,62917
2003,IN,59116
2003,KS,61633
2003,KY,51467
2003,LA,46689
2003,MA,71001
2003,MD,72895
2003,ME,51714
2003,MI,62734
2003,MN,73604
2003,MO,60979
2003,MS,45604
2003,MT,47527
2003,NC,51945
2003,ND,56308
2003,NE,61274
2003,NH,77428
2003,NJ,78094
2003,NM,48916
2003,NV,62960
2003,NY,59621
2003,OH,60641
2003,OK,50026
2003,OR,58019
2003,PA,59823
2003,RI,62301
2003,SC,53617
2003,SD,55070
2003,TN,52285
2003,TX,54721
2003,UT,68660
2003,VA,76335
2003,VT,60280
2003,WA,66198
2003,WI,64472
2003,WV,45652
2003,WY,59297
2004,AK,74707
2004,AL,49697
2004,AR,47465
2004,AZ,59488
2004,CA,66782
2004,CO,69040
2004,CT,74757
2004,DE,65191
2004,FL,54996
2004,GA,55605
2004,HI,76307
2004,IA,58871
2004,ID,60183
2004,IL,62515
2004,IN,57430
2004,KS,55717
2004,KY,48314
2004,LA,49425
2004,MA,70577
2004,MD,77475
2004,ME,56073
2004,MI,57331
2004,MN,76119
2004,MO,57170
2004,MS,47154
2004,MT,46070
2004,NC,54593
2004,ND,53212
2004,NE,59407
2004,NH,77084
2004,NJ,74995
2004,NM,53676
2004,NV,64044
2004,NY,60578
2004,OH,58415
2004,OK,53747
2004,OR,55619
2004,PA,59841
2004,RI,65036
2004,SC,52494
2004,SD,55772
2004,TN,51654
2004,TX,56166
2004,UT,69020
2004,VA,69386
2004,VT,64214
2004,WA,67732
2004,WI,62047
2004,WV,45279
2004,WY,61593
2005,AK,73346
2005,AL,48752
2005,AR,48106
2005,AZ,59375
2005,CA,67918
2005,CO,66204
2005,CT,74585
2005,DE,67236
2005,FL,56416
2005,GA,60269
2005,HI,78195
2005,IA,61022
2005,ID,57972
2005,IL,63513
2005,IN,55690
2005,KS,55152
2005,KY,48160
2005,LA,48865
2005,MA,73511
2005,MD,79410
2005,ME,57640
2005,MI,60278
2005,MN,71147
2005,MO,56411
2005,MS,43142
2005,MT,48966
2005,NC,55190
2005,ND,55369
2005,NE,62890
2005,NH,74780
2005,NJ,83158
2005,NM,51110
2005,NV,63265
2005,NY,61909
2005,OH,58008
2005,OK,49402
2005,OR,57950
2005,PA,60760
2005,RI,64938
2005,SC,52794
2005,SD,56627
2005,TN,51713
2005,TX,54358
2005,UT,71931
2005,VA,68127
2005,VT,66539
2005,WA,66463
2005,WI,58594
2005,WV,47827
2005,WY,58684
2006,AK,71713
2006,AL,48241
2006,AR,47103
2006,AZ,59306
2006,CA,70316
2006,CO,70796
2006,CT,79322
2006,DE,66654
2006,FL,58059
2006,GA,62721
2006,HI,76863
2006,IA,61173
2006,ID,58741
2006,IL,61866
2006,IN,57717
2006,KS,57901
2006,KY,50189
2006,LA,46380
2006,MA,70330
2006,MD,80928
2006,ME,58016
2006,MI,61835
2006,MN,71450
2006,MO,56664
2006,MS,44149
2006,MT,52249
2006,NC,50586
2006,ND,52175
2006,NE,61197
2006,NH,78770
2006,NJ,86510
2006,NM,50880
2006,NV,66456
2006,NY,61295
2006,OH,58344
2006,OK,49367
2006,OR,59857
2006,PA,61619
2006,RI,68304
2006,SC,50357
2006,SD,57742
2006,TN,51725
2006,TX,55048
2006,UT,69438
2006,VA,72604
2006,VT,66073
2006,WA,69558
2006,WI,65706
2006,WV,48834
2006,WY,59794
2007,AK,77862
2007,AL,52176
2007,AR,50425
2007,AZ,58360
2007,CA,68890
2007,CO,75573
2007,CT,79281
2007,DE,67475
2007,FL,56604
2007,GA,60123
2007,HI,79134
2007,IA,60453
2007,ID,60794
2007,IL,64900
2007,IN,58654
2007,KS,59945
2007,KY,48765
2007,LA,51065
2007,MA,72263
2007,MD,81122
2007,ME,59199
2007,MI,61024
2007,MN,71762
2007,MO,56864
2007,MS,46079
2007,MT,53960
2007,NC,53784
2007,ND,58348
2007,NE,60781
2007,NH,83527
2007,NJ,74791
2007,NM,54826
2007,NV,66818
2007,NY,60497
2007,OH,60689
2007,OK,53417
2007,OR,62094
2007,PA,59870
2007,RI,67006
2007,SC,54649
2007,SD,57375
2007,TN,50919
2007,TX,56924
2007,UT,66164
2007,VA,73126
2007,VT,58576
2007,WA,71790
2007,WI,63381
2007,WV,52026
2007,WY,60250
2008,AK,76168
2008,AL,52941
2008,AR,47120
2008,AZ,55843
2008,CA,67865
2008,CO,72542
2008,CT,76993
2008,DE,60352
2008,FL,53394
2008,GA,55025
2008,HI,73230
2008,IA,59685
2008,ID,56445
2008,IL,63390
2008,IN,55374
2008,KS,56989
2008,KY,48980
2008,LA,47093
2008,MA,71800
2008,MD,75837
2008,ME,56217
2008,MI,59264
2008,MN,65379
2008,MO,54800
2008,MS,43383
2008,MT,51065
2008,NC,51101
2008,ND,59077
2008,NE,60383
2008,NH,78771
2008,NJ,77735
2008,NM,50115
2008,NV,65163
2008,NY,60065
2008,OH,55867
2008,OK,54887
2008,OR,61572
2008,PA,61185
2008,RI,63374
2008,SC,50178
2008,SD,61421
2008,TN,47258
2008,TX,55338
2008,UT,74439
2008,VA,73782
2008,VT,60357
2008,WA,67409
2008,WI,60945
2008,WV,45225
2008,WY,63488
2009,AK,73585
2009,AL,47755
2009,AR,43644
2009,AZ,54634
2009,CA,67051
2009,CO,66807
2009,CT,77463
2009,DE,62249
2009,FL,54505
2009,GA,51769
2009,HI,66472
2009,IA,60585
2009,ID,55875
2009,IL,63152
2009,IN,52921
2009,KS,53414
2009,KY,50961
2009,LA,54269
2009,MA,70920
2009,MD,76669
2009,ME,56740
2009,MI,54939
2009,MN,66998
2009,MO,58254
2009,MS,41900
2009,MT,48301
2009,NC,50056
2009,ND,59814
2009,NE,59240
2009,NH,76603
2009,NJ,77375
2009,NM,52010
2009,NV,61437
2009,NY,59982
2009,OH,54802
2009,OK,54800
2009,OR,58647
2009,PA,57540
2009,RI,61676
2009,SC,49094
2009,SD,54738
2009,TN,48397
2009,TX,56708
2009,UT,69866
2009,VA,72267
2009,VT,62493
2009,WA,72137
2009,WI,61202
2009,WV,48364
2009,WY,62674
2010,AK,67977
2010,AL,48100
2010,AR,45343
2010,AZ,55107
2010,CA,63788
2010,CO,70779
2010,CT,77554
2010,DE,64882
2010,FL,51782
2010,GA,51842
2010,HI,69964
2010,IA,57598
2010,ID,55288
2010,IL,59610
2010,IN,54218
2010,KS,54118
2010,KY,48301
2010,LA,46181
2010,MA,71603
2010,MD,75442
2010,ME,56323
2010,MI,54379
2010,MN,61482
2010,MO,53839
2010,MS,44842
2010,MT,48508
2010,NC,51504
2010,ND,59937
2010,NE,61697
2010,NH,78300
2010,NJ,73993
2010,NM,53037
2010,NV,60165
2010,NY,58497
2010,OH,53920
2010,OK,50650
2010,OR,59462
2010,PA,56773
2010,RI,60662
2010,SC,48999
2010,SD,53293
2010,TN,45348
2010,TX,55542
2010,UT,66629
2010,VA,70937
2010,VT,65721
2010,WA,65997
2010,WI,59167
2010,WV,50267
2010,WY,61341
2011,AK,65424
2011,AL,48518
2011,AR,47051
2011,AZ,55388
2011,CA,60795
2011,CO,66789
2011,CT,74520
2011,DE,62268
2011,FL,51383
2011,GA,52372
2011,HI,67265
2011,IA,57209
2011,ID,54064
2011,IL,57685
2011,IN,50631
2011,KS,52570
2011,KY,45403
2011,LA,46317
2011,MA,72125
2011,MD,78462
2011,ME,56609
2011,MI,55682
2011,MN,65868
2011,MO,52145
2011,MS,46809
2011,MT,45883
2011,NC,51498
2011,ND,64205
2011,NE,63357
2011,NH,75049
2011,NJ,71014
2011,NM,47825
2011,NV,53591
2011,NY,57684
2011,OH,50862
2011,OK,55199
2011,OR,58698
2011,PA,56857
2011,RI,55858
2011,SC,45663
2011,SD,53796
2011,TN,48164
2011,TX,55874
2011,UT,63217
2011,VA,71331
2011,VT,59080
2011,WA,64763
2011,WI,59304
2011,WV,47642
2011,WY,62096
2012,AK,71003
2012,AL,48487
2012,AR,43527
2012,AZ,52480
2012,CA,63609
2012,CO,63871
2012,CT,71671
2012,DE,54631
2012,FL,51395
2012,GA,53682
2012,HI,62765
2012,IA,59618
2012,ID,53460
2012,IL,57717
2012,IN,51492
2012,KS,55781
2012,KY,45834
2012,LA,43601
2012,MA,71012
2012,MD,80137
2012,ME,54838
2012,MI,55795
2012,MN,68936
2012,MO,55515
2012,MS,40875
2012,MT,50298
2012,NC,46355
2012,ND,62210
2012,NE,58228
2012,NH,75656
2012,NJ,74399
2012,NM,48442
2012,NV,52803
2012,NY,53190
2012,OH,49503
2012,OK,54001
2012,OR,57758
2012,PA,57902
2012,RI,62544
2012,SC,49532
2012,SD,55125
2012,TN,47963
2012,TX,57926
2012,UT,65083
2012,VA,72101
2012,VT,62005
2012,WA,69373
2012,WI,59213
2012,WV,48586
2012,WY,64158
