observation_date,MEHOINUSAKA672N_20210423,MEHOINUSALA672N_20210423,MEHOINUSARA672N_20210423,MEHOINUSAZA672N_20210423,MEHOINUSCAA672N_20210423,MEHOINUSCOA672N_20210423,MEHOINUSCTA672N_20210423,MEHOINUSDEA672N_20210423,MEHOINUSFLA672N_20210423,MEHOINUSGAA672N_20210423,MEHOINUSHIA672N_20210423,MEHOINUSIAA672N_20210423,MEHOINUSIDA672N_20210423,MEHOINUSILA672N_20210423,MEHOINUSINA672N_20210423,MEHOINUSKSA672N_20210423,MEHOINUSKYA672N_20210423,MEHOINUSLAA672N_20210423,MEHOINUSMAA672N_20210423,MEHOINUSMDA672N_20210423,MEHOINUSMEA672N_20210423,MEHOINUSMIA672N_20210423,MEHOINUSMNA672N_20210423,MEHOINUSMOA672N_20210423,MEHOINUSMSA672N_20210423,MEHOINUSMTA672N_20210423,MEHOINUSNCA672N_20210423,MEHOINUSNDA672N_20210423,MEHOINUSNEA672N_20210423,MEHOINUSNHA672N_20210423,MEHOINUSNJA672N_20210423,MEHOINUSNMA672N_20210423,MEHOINUSNVA672N_20210423,MEHOINUSNYA672N_20210423,MEHOINUSOHA672N_20210423,MEHOINUSOKA672N_20210423,MEHOINUSORA672N_20210423,MEHOINUSPAA672N_20210423,MEHOINUSRIA672N_20210423,MEHOINUSSCA672N_20210423,MEHOINUSSDA672N_20210423,MEHOINUSTNA672N_20210423,MEHOINUSTXA672N_20210423,MEHOINUSUTA672N_20210423,MEHOINUSVAA672N_20210423,MEHOINUSVTA672N_20210423,MEHOINUSWAA672N_20210423,MEHOINUSWIA672N_20210423,MEHOINUSWVA672N_20210423,MEHOINUSWYA672N_20210423
1984-01-01,76043,40682,36837,50353,59429,60637,70390,60679,46498,46966,67866,46682,49570,55822,53514,57883,41551,44534,63359,69819,48527,53972,57429,48825,36263,45913,48341,48816,50287,60903,65279,48484,60578,51768,54343,49702,50292,47817,50792,47730,45615,39441,54111,54188,62339,53063,58795,48750,39584,55972
1985-01-01,79031,41656,39652,54253,61306,64035,70642,52215,48495,47827,65805,47550,47173,56509,51522,51778,39447,48122,64091,68474,46623,55082,54205,49849,37293,45980,48741,48182,49531,59992,70392,46405,52883,53712,57200,48182,49747,51981,55952,45525,41222,40395,53948,57345,64596,59077,54532,52819,36316,50172
1986-01-01,70021,42724,41826,56944,64782,60722,73069,57225,51024,54421,64766,50153,46335,59202,50754,53429,44381,46649,67750,68342,52308,59412,59050,48961,36875,45394,48818,48029,48619,68217,70823,44316,58545,55883,56084,46779,55320,53163,59266,49057,44434,40767,53956,58688,66356,54932,60028,59021,36766,52610
1987-01-01,71744,42602,40644,57747,65080,57157,70943,63133,52868,57671,75607,47904,44807,58470,48615,55229,44629,46089,69603,75494,50948,59804,60624,51207,39966,44200,49135,48738,50232,69812,73921,44813,58025,56959,55640,46827,54053,54886,61078,54077,45661,45722,53368,57272,64756,54867,58977,56926,37147,59562
1988-01-01,68972,41563,42030,55079,63105,54619,75452,63559,52935,55352,68808,50641,48860,61515,54783,53268,41478,42707,69201,76158,55010,61407,60605,48845,37850,46320,50870,50197,52420,72143,75606,40204,58304,60246,57798,49312,57815,55719,62178,53200,46451,43455,52012,54825,68024,60398,67355,61621,40323,55046
1989-01-01,71878,42489,42786,56998,65895,53513,84485,64017,52073,54982,69940,52433,49216,62484,51700,53624,46480,45637,72038,71898,56337,61436,60258,52896,39760,47296,52714,50364,52540,74925,78095,45120,58571,62875,57934,47246,56952,57274,60136,47508,48127,45138,51676,61320,68109,62474,63803,58138,43274,58932
1990-01-01,74764,44436,43350,55598,63333,58469,73949,58604,50768,52434,74046,51915,48142,61910,51230,56916,47143,42625,68959,73925,52250,56954,59861,51998,38388,44470,50090,48064,52284,77631,73691,47636,60923,60101,57099,46390,55706,55181,60818,54668,46746,42981,53703,57344,66726,59163,61092,58427,42115,56047
1991-01-01,74551,44692,43019,56424,61797,57822,77382,59816,50026,49953,68372,52414,47941,58529,49727,53777,43623,46441,65560,67832,51157,58957,54114,51263,35750,45575,49294,47530,54243,66144,73518,48719,60462,58364,54685,46740,55419,55744,56605,50414,45230,44888,50909,51429,66336,53520,62358,57151,42491,53327
1992-01-01,74874,46226,42776,52585,62517,58184,73152,63905,48986,51580,75431,51483,49622,56513,51102,54354,42065,45565,65124,66636,53049,57795,55492,49008,36844,47510,49742,48288,53821,70636,69855,46319,57152,55617,56249,45287,57186,53523,54508,49396,47034,43557,50068,61349,68418,58669,60720,59660,36308,54109
1993-01-01,75005,43821,40251,53304,59529,60254,69038,63007,49880,55318,74535,50077,54178,57404,51496,52011,42587,45970,64755,69777,47937,57064,58846,50110,38770,46246,50351,49125,54174,66327,70758,46749,62571,55378,54658,45879,57895,54151,58544,45517,48459,43856,50189,62522,63652,54274,62293,55498,39172,51438
1994-01-01,77639,46542,43751,53554,60464,64746,70332,61392,50133,53851,72314,56610,53970,60036,47675,48469,45514,43941,69310,67082,51882,60384,57577,51666,43469,47287,51536,48394,54411,60317,72356,46044,61388,54591,54515,46191,53833,54877,54640,51077,50884,49012,52633,61123,64428,61270,57387,60562,40327,56715
1995-01-01,80136,43434,43138,51575,61846,68024,67250,58368,49707,56983,71609,59356,54605,63621,55790,50703,49816,46706,64461,68584,56580,60872,63390,58196,44348,46385,53440,48611,55028,65459,73402,43434,60300,55193,58390,43968,60785,57693,59089,48581,49428,48487,53541,60962,60531,56523,59438,68440,41577,52688
1996-01-01,85911,49324,44150,51497,63176,66657,68559,63985,49876,52896,67995,54056,56498,64384,57211,53040,52760,49259,64287,71610,56477,63849,66723,55775,43424,46691,57950,51225,55366,64145,77266,40834,62734,57639,55458,44661,57772,56807,60204,56426,48061,50119,53833,60289,63826,52671,59700,65112,41096,50384
1997-01-01,76469,50889,41684,52165,63245,68884,70082,68565,51711,58416,65221,53827,53223,65777,61962,58110,53300,52994,66956,74384,52216,61728,67818,58240,45408,46544,57104,50446,55275,65323,76513,47936,61907,57037,57573,49952,59346,59776,55443,54590,47312,48813,55885,68154,68444,55850,71001,63087,43797,53253
1998-01-01,79689,57011,43490,58306,64349,73255,73112,65173,54878,60782,64181,58195,57662,67877,62458,57711,56989,49888,66567,78626,56027,65744,75341,63197,45777,49640,56338,47639,57242,70675,78328,49586,62497,58784,61191,53020,61414,61333,63959,52297,51540,53592,56252,69639,68154,61894,74547,64967,41979,55414
1999-01-01,79111,55799,45688,56944,67156,74156,77875,71772,55153,60685,68503,63260,55105,71313,62860,57488,51931,50263,67735,80356,59818,70942,72403,63699,49992,47775,57343,50276,59455,70890,76553,50139,63819,61553,60783,50307,62523,58119,65755,56124,55148,56216,59550,70882,70333,64008,69994,70293,45095,57334
2000-01-01,78675,52737,44211,59226,69696,71816,74693,74980,57846,62379,76738,61025,55993,68577,60837,61126,53989,45731,69603,81188,55479,67755,80765,67137,51062,48796,57044,53588,62155,75815,75039,52244,68121,60657,63959,48283,63270,62789,62820,55932,54301,50760,57478,70789,70213,58945,63308,67124,43785,58997
