Year,State,Total_SqMi
2000,AK,"665,384"
2000,AL,"52,420"
2000,AR,"53,179"
2000,AZ,"113,990"
2000,CA,"163,695"
2000,CO,"104,094"
2000,CT,"5,543"
2000,DE,"2,489"
2000,FL,"65,758"
2000,GA,"59,425"
2000,HI,"10,932"
2000,IA,"56,273"
2000,ID,"83,569"
2000,IL,"57,914"
2000,IN,"36,420"
2000,KS,"82,278"
2000,KY,"40,408"
2000,LA,"52,378"
2000,MA,"10,554"
2000,MD,"12,406"
2000,ME,"35,380"
2000,MI,"96,714"
2000,MN,"86,936"
2000,MO,"69,707"
2000,MS,"48,432"
2000,MT,"147,040"
2000,NC,"53,819"
2000,ND,"70,698"
2000,NE,"77,348"
2000,NH,"9,349"
2000,NJ,"8,723"
2000,NM,"121,590"
2000,NV,"110,572"
2000,NY,"54,555"
2000,OH,"44,826"
2000,OK,"69,899"
2000,OR,"98,379"
2000,PA,"46,054"
2000,RI,"1,545"
2000,SC,"32,020"
2000,SD,"77,116"
2000,TN,"42,144"
2000,TX,"268,596"
2000,UT,"84,897"
2000,VA,"42,775"
2000,VT,"9,616"
2000,WA,"71,298"
2000,WI,"65,496"
2000,WV,"24,230"
2000,WY,"97,813"
2001,AK,"665,384"
2001,AL,"52,420"
2001,AR,"53,179"
2001,AZ,"113,990"
2001,CA,"163,695"
2001,CO,"104,094"
2001,CT,"5,543"
2001,DE,"2,489"
2001,FL,"65,758"
2001,GA,"59,425"
2001,HI,"10,932"
2001,IA,"56,273"
2001,ID,"83,569"
2001,IL,"57,914"
2001,IN,"36,420"
2001,KS,"82,278"
2001,KY,"40,408"
2001,LA,"52,378"
2001,MA,"10,554"
2001,MD,"12,406"
2001,ME,"35,380"
2001,MI,"96,714"
2001,MN,"86,936"
2001,MO,"69,707"
2001,MS,"48,432"
2001,MT,"147,040"
2001,NC,"53,819"
2001,ND,"70,698"
2001,NE,"77,348"
2001,NH,"9,349"
2001,NJ,"8,723"
2001,NM,"121,590"
2001,NV,"110,572"
2001,NY,"54,555"
2001,OH,"44,826"
2001,OK,"69,899"
2001,OR,"98,379"
2001,PA,"46,054"
2001,RI,"1,545"
2001,SC,"32,020"
2001,SD,"77,116"
2001,TN,"42,144"
2001,TX,"268,596"
2001,UT,"84,897"
2001,VA,"42,775"
2001,VT,"9,616"
2001,WA,"71,298"
2001,WI,"65,496"
2001,WV,"24,230"
2001,WY,"97,813"
2002,AK,"665,384"
2002,AL,"52,420"
2002,AR,"53,179"
2002,AZ,"113,990"
2002,CA,"163,695"
2002,CO,"104,094"
2002,CT,"5,543"
2002,DE,"2,489"
2002,FL,"65,758"
2002,GA,"59,425"
2002,HI,"10,932"
2002,IA,"56,273"
2002,ID,"83,569"
2002,IL,"57,914"
2002,IN,"36,420"
2002,KS,"82,278"
2002,KY,"40,408"
2002,LA,"52,378"
2002,MA,"10,554"
2002,MD,"12,406"
2002,ME,"35,380"
2002,MI,"96,714"
2002,MN,"86,936"
2002,MO,"69,707"
2002,MS,"48,432"
2002,MT,"147,040"
2002,NC,"53,819"
2002,ND,"70,698"
2002,NE,"77,348"
2002,NH,"9,349"
2002,NJ,"8,723"
2002,NM,"121,590"
2002,NV,"110,572"
2002,NY,"54,555"
2002,OH,"44,826"
2002,OK,"69,899"
2002,OR,"98,379"
2002,PA,"46,054"
2002,RI,"1,545"
2002,SC,"32,020"
2002,SD,"77,116"
2002,TN,"42,144"
2002,TX,"268,596"
2002,UT,"84,897"
2002,VA,"42,775"
2002,VT,"9,616"
2002,WA,"71,298"
2002,WI,"65,496"
2002,WV,"24,230"
2002,WY,"97,813"
2003,AK,"665,384"
2003,AL,"52,420"
2003,AR,"53,179"
2003,AZ,"113,990"
2003,CA,"163,695"
2003,CO,"104,094"
2003,CT,"5,543"
2003,DE,"2,489"
2003,FL,"65,758"
2003,GA,"59,425"
2003,HI,"10,932"
2003,IA,"56,273"
2003,ID,"83,569"
2003,IL,"57,914"
2003,IN,"36,420"
2003,KS,"82,278"
2003,KY,"40,408"
2003,LA,"52,378"
2003,MA,"10,554"
2003,MD,"12,406"
2003,ME,"35,380"
2003,MI,"96,714"
2003,MN,"86,936"
2003,MO,"69,707"
2003,MS,"48,432"
2003,MT,"147,040"
2003,NC,"53,819"
2003,ND,"70,698"
2003,NE,"77,348"
2003,NH,"9,349"
2003,NJ,"8,723"
2003,NM,"121,590"
2003,NV,"110,572"
2003,NY,"54,555"
2003,OH,"44,826"
2003,OK,"69,899"
2003,OR,"98,379"
2003,PA,"46,054"
2003,RI,"1,545"
2003,SC,"32,020"
2003,SD,"77,116"
2003,TN,"42,144"
2003,TX,"268,596"
2003,UT,"84,897"
2003,VA,"42,775"
2003,VT,"9,616"
2003,WA,"71,298"
2003,WI,"65,496"
2003,WV,"24,230"
2003,WY,"97,813"
2004,AK,"665,384"
2004,AL,"52,420"
2004,AR,"53,179"
2004,AZ,"113,990"
2004,CA,"163,695"
2004,CO,"104,094"
2004,CT,"5,543"
2004,DE,"2,489"
2004,FL,"65,758"
2004,GA,"59,425"
2004,HI,"10,932"
2004,IA,"56,273"
2004,ID,"83,569"
2004,IL,"57,914"
2004,IN,"36,420"
2004,KS,"82,278"
2004,KY,"40,408"
2004,LA,"52,378"
2004,MA,"10,554"
2004,MD,"12,406"
2004,ME,"35,380"
2004,MI,"96,714"
2004,MN,"86,936"
2004,MO,"69,707"
2004,MS,"48,432"
2004,MT,"147,040"
2004,NC,"53,819"
2004,ND,"70,698"
2004,NE,"77,348"
2004,NH,"9,349"
