YEAR,STATE,Non-Renewable,Renewable,Total
2000,AK,5154706.0,1001819.0,6156525.0
2000,AL,114511544.0,9893796.0,124405340.0
2000,AR,39911247.0,3964519.0,43875766.0
2000,AZ,80587778.0,8358799.0,88946577.0
2000,CA,147245036.0,60837447.0,208082483.0
2000,CO,42693217.0,1472329.0,44165546.0
2000,CT,30288123.0,2679447.0,32967570.0
2000,DE,5968613.0,18838.0,5987451.0
2000,FL,186038725.0,5777115.0,191815840.0
2000,GA,118291817.0,5585596.0,123877413.0
2000,HI,9672540.0,920863.0,10593403.0
2000,IA,40055618.0,1486392.0,41542010.0
2000,ID,460489.0,11449953.0,11910442.0
2000,IL,177443862.0,1052219.0,178496081.0
2000,IN,127101358.0,718158.0,127819516.0
2000,KS,44800573.0,15332.0,44815905.0
2000,KY,90669222.0,2336861.0,93006083.0
2000,LA,89540893.0,3324742.0,92865635.0
2000,MA,35435904.0,3261977.0,38697881.0
2000,MD,48594351.0,2551029.0,51145380.0
2000,ME,6635264.0,7412683.0,14047947.0
2000,MI,99892321.0,4317273.0,104209594.0
2000,MN,48447862.0,2975477.0,51423339.0
2000,MO,75911166.0,682773.0,76593939.0
2000,MS,35934259.0,1680304.0,37614563.0
2000,MT,16781648.0,9670180.0,26451828.0
2000,NC,117362973.0,4911383.0,122274356.0
2000,ND,29180660.0,2130536.0,31311196.0
2000,NE,27592625.0,1517238.0,29109863.0
2000,NH,12497627.0,2533872.0,15031499.0
2000,NJ,56706865.0,1378350.0,58085215.0
2000,NM,33792404.0,229616.0,34022020.0
2000,NV,31684656.0,3800259.0,35484915.0
2000,NY,110287221.0,27791854.0,138079075.0
2000,OH,147829841.0,1230439.0,149060280.0
2000,OK,53146837.0,2425120.0,55571957.0
2000,OR,12970989.0,38818986.0,51789975.0
2000,PA,196667285.0,5020695.0,201687980.0
2000,RI,5851439.0,120106.0,5971545.0
2000,SC,90393017.0,2953223.0,93346240.0
2000,SD,3981829.0,5715508.0,9697337.0
2000,TN,88642726.0,7195858.0,95838584.0
2000,TX,375142795.0,2599570.0,377742365.0
2000,UT,35701996.0,907078.0,36609074.0
2000,VA,74333287.0,2856083.0,77189370.0
2000,VT,4722152.0,1580862.0,6303014.0
2000,WA,26482426.0,81754454.0,108236880.0
2000,WI,56505133.0,3139284.0,59644417.0
2000,WV,91699841.0,1165335.0,92865176.0
2000,WY,44237334.0,1256946.0,45494280.0
2001,AK,5397151.0,1346615.0,6743766.0
2001,AL,112799367.0,12545746.0,125345113.0
2001,AR,43131788.0,4060247.0,47192035.0
2001,AZ,82248270.0,7663002.0,89911272.0
2001,CA,151424683.0,47171392.0,198596075.0
2001,CO,45268462.0,1607540.0,46876002.0
2001,CT,29295349.0,1195297.0,30490646.0
2001,DE,6807684.0,,6807684.0
2001,FL,187007869.0,3937475.0,190945344.0
2001,GA,112717608.0,5599181.0,118316789.0
2001,HI,10035921.0,597172.0,10633093.0
2001,IA,39221746.0,1436766.0,40658512.0
2001,ID,1590480.0,7756461.0,9346941.0
2001,IL,178426689.0,822596.0,179249285.0
2001,IN,121884401.0,685272.0,122569673.0
2001,KS,44683129.0,65394.0,44748523.0
2001,KY,91552565.0,3865061.0,95417626.0
2001,LA,84457871.0,3436506.0,87894377.0
2001,MA,36463142.0,2015292.0,38478434.0
2001,MD,47505807.0,1556533.0,49062340.0
2001,ME,13093973.0,6470848.0,19564821.0
2001,MI,107922024.0,3923586.0,111845610.0
2001,MN,45714495.0,2808731.0,48523226.0
2001,MO,78431940.0,1112933.0,79544873.0
2001,MS,52014335.0,1432117.0,53446452.0
2001,MT,17553586.0,6678899.0,24232485.0
2001,NC,113148855.0,4346995.0,117495850.0
2001,ND,28992331.0,1339741.0,30332072.0
2001,NE,29341797.0,1143415.0,30485212.0
2001,NH,13058424.0,2016200.0,15074624.0
2001,NJ,58559626.0,861634.0,59421260.0
2001,NM,33355671.0,255972.0,33611643.0
2001,NV,30162371.0,3713595.0,33875966.0
2001,NY,119029532.0,24885027.0,143914559.0
2001,OH,141320061.0,941746.0,142261807.0
2001,OK,52674064.0,2575386.0,55249450.0
2001,OR,15567826.0,29484080.0,45051906.0
2001,PA,193030391.0,3546200.0,196576591.0
2001,RI,7395133.0,106759.0,7501892.0
2001,SC,87039390.0,2119597.0,89158987.0
2001,SD,3968007.0,3432736.0,7400743.0
2001,TN,88453422.0,7768554.0,96221976.0
2001,TX,369198725.0,3381277.0,372580002.0
2001,UT,35187107.0,666643.0,35853750.0
2001,VA,71343454.0,2761296.0,74104750.0
2001,VT,4213860.0,1266754.0,5480614.0
2001,WA,27093443.0,55955226.0,83048669.0
2001,WI,55604977.0,3158454.0,58763431.0
2001,WV,80869255.0,967470.0,81836725.0
2001,WY,43532668.0,1244270.0,44776938.0
2002,AK,5315819.0,1451506.0,6767325.0
