Year,State,Total_Pres_Votes,Dem_Pres_Votes,Rep_Pres_Votes
2000,AK,285560.0,79004.0,167398.0
2000,AL,1666272.0,692611.0,941173.0
2000,AR,921781.0,422768.0,472940.0
2000,AZ,1532016.0,685341.0,781652.0
2000,CA,10965822.0,5861203.0,4567429.0
2000,CO,1741368.0,738227.0,883748.0
2000,CT,1459525.0,816015.0,561094.0
2000,DE,327529.0,180068.0,137288.0
2000,FL,5963110.0,2912253.0,2912790.0
2000,GA,2583208.0,1116230.0,1419720.0
2000,HI,367951.0,205286.0,137845.0
2000,IA,1353022.0,638517.0,634373.0
2000,ID,501615.0,138637.0,336937.0
2000,IL,4742108.0,2589026.0,2019421.0
2000,IN,2199302.0,901980.0,1245836.0
2000,KS,1072216.0,399276.0,622332.0
2000,KY,1544106.0,638923.0,872520.0
2000,LA,1765656.0,792344.0,927871.0
2000,MA,2733964.0,1616487.0,878502.0
2000,MD,2025212.0,1144008.0,813827.0
2000,ME,651817.0,319951.0,286616.0
2000,MI,4232501.0,2170418.0,1953139.0
2000,MN,2438685.0,1168266.0,1109659.0
2000,MO,2359892.0,1111138.0,1189924.0
2000,MS,994184.0,404614.0,572844.0
2000,MT,410986.0,137126.0,240178.0
2000,NC,2914990.0,1257692.0,1631163.0
2000,ND,288256.0,95284.0,174852.0
2000,NE,697019.0,231780.0,433862.0
2000,NH,569081.0,266348.0,273559.0
2000,NJ,3187226.0,1788850.0,1284173.0
2000,NM,598605.0,286783.0,286417.0
2000,NV,609426.0,279978.0,301575.0
2000,NY,6960215.0,3942215.0,2258577.0
2000,OH,4701998.0,2183628.0,2350363.0
2000,OK,1234229.0,474276.0,744337.0
2000,OR,1533950.0,720342.0,713577.0
2000,PA,4912185.0,2485967.0,2281127.0
2000,RI,409112.0,249508.0,130555.0
2000,SC,1383902.0,566037.0,786892.0
2000,SD,316269.0,118804.0,190700.0
2000,TN,2076181.0,981720.0,1061949.0
2000,TX,6407637.0,2433746.0,3799639.0
2000,UT,770754.0,203053.0,515096.0
2000,VA,2739447.0,1217290.0,1437490.0
2000,VT,294308.0,149022.0,119775.0
2000,WA,2487433.0,1247652.0,1108864.0
2000,WI,2598607.0,1242987.0,1237279.0
2000,WV,648124.0,295497.0,336475.0
2000,WY,213726.0,60481.0,147947.0
2001,AK,285560.0,79004.0,167398.0
2001,AL,1666272.0,692611.0,941173.0
2001,AR,921781.0,422768.0,472940.0
2001,AZ,1532016.0,685341.0,781652.0
2001,CA,10965822.0,5861203.0,4567429.0
2001,CO,1741368.0,738227.0,883748.0
2001,CT,1459525.0,816015.0,561094.0
2001,DE,327529.0,180068.0,137288.0
2001,FL,5963110.0,2912253.0,2912790.0
2001,GA,2583208.0,1116230.0,1419720.0
2001,HI,367951.0,205286.0,137845.0
2001,IA,1353022.0,638517.0,634373.0
2001,ID,501615.0,138637.0,336937.0
2001,IL,4742108.0,2589026.0,2019421.0
2001,IN,2199302.0,901980.0,1245836.0
2001,KS,1072216.0,399276.0,622332.0
2001,KY,1544106.0,638923.0,872520.0
2001,LA,1765656.0,792344.0,927871.0
2001,MA,2733964.0,1616487.0,878502.0
2001,MD,2025212.0,1144008.0,813827.0
2001,ME,651817.0,319951.0,286616.0
2001,MI,4232501.0,2170418.0,1953139.0
2001,MN,2438685.0,1168266.0,1109659.0
2001,MO,2359892.0,1111138.0,1189924.0
2001,MS,994184.0,404614.0,572844.0
2001,MT,410986.0,137126.0,240178.0
2001,NC,2914990.0,1257692.0,1631163.0
2001,ND,288256.0,95284.0,174852.0
2001,NE,697019.0,231780.0,433862.0
2001,NH,569081.0,266348.0,273559.0
2001,NJ,3187226.0,1788850.0,1284173.0
2001,NM,598605.0,286783.0,286417.0
2001,NV,609426.0,279978.0,301575.0
2001,NY,6960215.0,3942215.0,2258577.0
2001,OH,4701998.0,2183628.0,2350363.0
2001,OK,1234229.0,474276.0,744337.0
2001,OR,1533950.0,720342.0,713577.0
2001,PA,4912185.0,2485967.0,2281127.0
2001,RI,409112.0,249508.0,130555.0
2001,SC,1383902.0,566037.0,786892.0
2001,SD,316269.0,118804.0,190700.0
2001,TN,2076181.0,981720.0,1061949.0
2001,TX,6407637.0,2433746.0,3799639.0
2001,UT,770754.0,203053.0,515096.0
2001,VA,2739447.0,1217290.0,1437490.0
2001,VT,294308.0,149022.0,119775.0
2001,WA,2487433.0,1247652.0,1108864.0
2001,WI,2598607.0,1242987.0,1237279.0
2001,WV,648124.0,295497.0,336475.0
2001,WY,213726.0,60481.0,147947.0
2002,AK,285560.0,79004.0,167398.0
2002,AL,1666272.0,692611.0,941173.0
2002,AR,921781.0,422768.0,472940.0
2002,AZ,1532016.0,685341.0,781652.0
2002,CA,10965822.0,5861203.0,4567429.0
2002,CO,1741368.0,738227.0,883748.0
2002,CT,1459525.0,816015.0,561094.0
2002,DE,327529.0,180068.0,137288.0
2002,FL,5963110.0,2912253.0,2912790.0
2002,GA,2583208.0,1116230.0,1419720.0
2002,HI,367951.0,205286.0,137845.0
2002,IA,1353022.0,638517.0,634373.0
2002,ID,501615.0,138637.0,336937.0
2002,IL,4742108.0,2589026.0,2019421.0
2002,IN,2199302.0,901980.0,1245836.0
2002,KS,1072216.0,399276.0,622332.0
2002,KY,1544106.0,638923.0,872520.0
2002,LA,1765656.0,792344.0,927871.0
2002,MA,2733964.0,1616487.0,878502.0
2002,MD,2025212.0,1144008.0,813827.0
2002,ME,651817.0,319951.0,286616.0
2002,MI,4232501.0,2170418.0,1953139.0
2002,MN,2438685.0,1168266.0,1109659.0
2002,MO,2359892.0,1111138.0,1189924.0
2002,MS,994184.0,404614.0,572844.0
2002,MT,410986.0,137126.0,240178.0
2002,NC,2914990.0,1257692.0,1631163.0
2002,ND,288256.0,95284.0,174852.0
2002,NE,697019.0,231780.0,433862.0
2002,NH,569081.0,266348.0,273559.0
2002,NJ,3187226.0,1788850.0,1284173.0
2002,NM,598605.0,286783.0,286417.0
2002,NV,609426.0,279978.0,301575.0
2002,NY,6960215.0,3942215.0,2258577.0
2002,OH,4701998.0,2183628.0,2350363.0
2002,OK,1234229.0,474276.0,744337.0
2002,OR,1533950.0,720342.0,713577.0
2002,PA,4912185.0,2485967.0,2281127.0
2002,RI,409112.0,249508.0,130555.0
2002,SC,1383902.0,566037.0,786892.0
2002,SD,316269.0,118804.0,190700.0
2002,TN,2076181.0,981720.0,1061949.0
2002,TX,6407637.0,2433746.0,3799639.0
2002,UT,770754.0,203053.0,515096.0
2002,VA,2739447.0,1217290.0,1437490.0
2002,VT,294308.0,149022.0,119775.0
2002,WA,2487433.0,1247652.0,1108864.0
2002,WI,2598607.0,1242987.0,1237279.0
2002,WV,648124.0,295497.0,336475.0
2002,WY,213726.0,60481.0,147947.0
2003,AK,285560.0,79004.0,167398.0
2003,AL,1666272.0,692611.0,941173.0
2003,AR,921781.0,422768.0,472940.0
2003,AZ,1532016.0,685341.0,781652.0
2003,CA,10965822.0,5861203.0,4567429.0
2003,CO,1741368.0,738227.0,883748.0
2003,CT,1459525.0,816015.0,561094.0
2003,DE,327529.0,180068.0,137288.0
2003,FL,5963110.0,2912253.0,2912790.0
2003,GA,2583208.0,1116230.0,1419720.0
2003,HI,367951.0,205286.0,137845.0
2003,IA,1353022.0,638517.0,634373.0
2003,ID,501615.0,138637.0,336937.0
2003,IL,4742108.0,2589026.0,2019421.0
2003,IN,2199302.0,901980.0,1245836.0
2003,KS,1072216.0,399276.0,622332.0
2003,KY,1544106.0,638923.0,872520.0
2003,LA,1765656.0,792344.0,927871.0
2003,MA,2733964.0,1616487.0,878502.0
2003,MD,2025212.0,1144008.0,813827.0
2003,ME,651817.0,319951.0,286616.0
2003,MI,4232501.0,2170418.0,1953139.0
2003,MN,2438685.0,1168266.0,1109659.0
2003,MO,2359892.0,1111138.0,1189924.0
2003,MS,994184.0,404614.0,572844.0
2003,MT,410986.0,137126.0,240178.0
2003,NC,2914990.0,1257692.0,1631163.0
2003,ND,288256.0,95284.0,174852.0
2003,NE,697019.0,231780.0,433862.0
2003,NH,569081.0,266348.0,273559.0
2003,NJ,3187226.0,1788850.0,1284173.0
2003,NM,598605.0,286783.0,286417.0
2003,NV,609426.0,279978.0,301575.0
2003,NY,6960215.0,3942215.0,2258577.0
2003,OH,4701998.0,2183628.0,2350363.0
2003,OK,1234229.0,474276.0,744337.0
2003,OR,1533950.0,720342.0,713577.0
2003,PA,4912185.0,2485967.0,2281127.0
2003,RI,409112.0,249508.0,130555.0
2003,SC,1383902.0,566037.0,786892.0
2003,SD,316269.0,118804.0,190700.0
2003,TN,2076181.0,981720.0,1061949.0
2003,TX,6407637.0,2433746.0,3799639.0
2003,UT,770754.0,203053.0,515096.0
2003,VA,2739447.0,1217290.0,1437490.0
2003,VT,294308.0,149022.0,119775.0
2003,WA,2487433.0,1247652.0,1108864.0
2003,WI,2598607.0,1242987.0,1237279.0
2003,WV,648124.0,295497.0,336475.0
2003,WY,213726.0,60481.0,147947.0
2004,AK,312598.0,111025.0,190889.0
2004,AL,1883415.0,693933.0,1176394.0
2004,AR,1054945.0,469953.0,572898.0
2004,AZ,2012585.0,893524.0,1104294.0
2004,CA,12421353.0,6745485.0,5509826.0
2004,CO,2129630.0,1001732.0,1101255.0
2004,CT,1578769.0,857488.0,693826.0
2004,DE,375190.0,200152.0,171660.0
2004,FL,7609810.0,3583544.0,3964522.0
2004,GA,3301875.0,1366149.0,1914254.0
2004,HI,429013.0,231708.0,194191.0
2004,IA,1506908.0,741898.0,751957.0
2004,ID,598376.0,181098.0,409235.0
2004,IL,5274322.0,2891550.0,2345946.0
2004,IN,2468002.0,969011.0,1479438.0
2004,KS,1187756.0,434993.0,736456.0
