Year,State,Total_Sen_Votes,Dem_Sen_Votes,Rep_Sen_Votes
2000,AK,0.0,0.0,0.0
2000,AL,311441.0,36200.0,138149.0
2000,AR,2087444.0,748709.0,1335104.0
2000,AZ,1397076.0,400602.0,1108196.0
2000,CA,10623608.0,5932522.0,3886853.0
2000,CO,11113364.0,11113364.0,4713887.0
2000,CT,1311261.0,828902.0,448077.0
2000,DE,326993.0,181566.0,142891.0
2000,FL,5856731.0,2989487.0,2705348.0
2000,GA,2415743.0,1413224.0,4099505.0
2000,HI,345623.0,251215.0,84701.0
2000,IA,388351.0,276316.0,112035.0
2000,ID,1541036.0,549460.0,926007.0
2000,IL,678943.0,188249.0,449017.0
2000,IN,2145209.0,683273.0,1427944.0
2000,KS,2282565.0,1023553.0,1158000.0
2000,KY,1177922.0,379740.0,732376.0
2000,LA,1903465.0,813246.0,1090177.0
2000,MA,2734048.0,1889494.0,334341.0
2000,MD,1946898.0,1230013.0,715178.0
2000,ME,634872.0,197183.0,437689.0
2000,MI,4167685.0,2061952.0,1994693.0
2000,MN,2419520.0,1181553.0,1047474.0
2000,MO,2361586.0,1191812.0,1142852.0
2000,MS,994144.0,314090.0,654941.0
2000,MT,411601.0,194430.0,208082.0
2000,NC,504384.0,253876.0,235963.0
2000,ND,287539.0,176470.0,111069.0
2000,NE,692350.0,353093.0,337977.0
2000,NH,698883.0,269917.0,403151.0
2000,NJ,3015662.0,1511237.0,1420267.0
2000,NM,589526.0,363744.0,225517.0
2000,NV,600776.0,238260.0,330687.0
2000,NY,6959662.0,3562415.0,2724589.0
2000,OH,4448801.0,1595066.0,2665512.0
2000,OK,4410898.0,2355923.0,2053963.0
2000,OR,1448047.0,355911.0,980892.0
2000,PA,4735116.0,2154908.0,2481962.0
2000,RI,391353.0,161023.0,222588.0
2000,SC,376738.0,231477.0,144421.0
2000,SD,2049893.0,704540.0,1241609.0
2000,TN,1928613.0,621152.0,1255444.0
2000,TX,6267964.0,2025024.0,4078954.0
2000,UT,769704.0,242569.0,504803.0
2000,VA,2718301.0,1296093.0,1420460.0
2000,VT,288500.0,73352.0,189133.0
2000,WA,2461379.0,1199437.0,1197208.0
2000,WI,2540083.0,1563238.0,940744.0
2000,WV,603477.0,469215.0,121635.0
2000,WY,213659.0,47087.0,157622.0
2001,AK,0.0,0.0,0.0
2001,AL,311441.0,36200.0,138149.0
2001,AR,2087444.0,748709.0,1335104.0
2001,AZ,1397076.0,400602.0,1108196.0
2001,CA,10623608.0,5932522.0,3886853.0
2001,CO,11113364.0,11113364.0,4713887.0
2001,CT,1311261.0,828902.0,448077.0
2001,DE,326993.0,181566.0,142891.0
2001,FL,5856731.0,2989487.0,2705348.0
2001,GA,2415743.0,1413224.0,4099505.0
2001,HI,345623.0,251215.0,84701.0
2001,IA,388351.0,276316.0,112035.0
2001,ID,1541036.0,549460.0,926007.0
2001,IL,678943.0,188249.0,449017.0
2001,IN,2145209.0,683273.0,1427944.0
2001,KS,2282565.0,1023553.0,1158000.0
2001,KY,1177922.0,379740.0,732376.0
2001,LA,1903465.0,813246.0,1090177.0
2001,MA,2734048.0,1889494.0,334341.0
2001,MD,1946898.0,1230013.0,715178.0
2001,ME,634872.0,197183.0,437689.0
2001,MI,4167685.0,2061952.0,1994693.0
2001,MN,2419520.0,1181553.0,1047474.0
2001,MO,2361586.0,1191812.0,1142852.0
2001,MS,994144.0,314090.0,654941.0
2001,MT,411601.0,194430.0,208082.0
