State,Target,Year,Clean_Energy_Target,Clean_Energy_Year
WA,15%,2020.0,100%,2045.0
OR,50%,2040.0,100%,2040.0
CA,60%,2030.0,100%,2045.0
NV,50%,2030.0,100%,2050.0
UT,20%,2025.0,,
AZ,15%,2025.0,,
ND,10%,2015.0,,
NM,80%,2040.0,100%,2045.0
HI,100%,2045.0,,
CO,30%,2020.0,100%,2050.0
OK,15%,2015.0,,
MN,55%,2035.0,100%,2040.0
MI,60%,2030.0,100%,2050.0
WI,10%,2015.0,100%,2050.0
MO,15%,2021.0,,
IA,105 MW,,,
IN,10%,2025.0,,
IL,50%,2040.0,100%,2050.0
OH,8.5%,2026.0,,
NC,12.5%,2021.0,100%,2050.0
VA,,,100%,2045.0
KS,20%,2020.0,,
ME,,,100%,2050.0
SD,10%,2015.0,,
SC,2%,2021.0,,
NMI,20%,2016.0,,
PR,,,100%,2050.0
Guam,,,100%,2045.0
USVI,60%,2025.0,,
NH,25.2%,2025.0,,
VT,,,100%,2030.0
MA,40%,2030.0,100%,2050.0
RI,,,100%,2033.0
CT,40%,2030.0,100%,2040.0
NY,70%,2030.0,100%,2040.0
PA,18%,2021.0,,
NJ,50%,2030.0,100%,2035.0
DE,40%,2035.0,100%,2050.0
MD,50%,2030.0,100%,2045.0
DC,,,100%,2032.0
LA,,,100%,2050.0
